DATASET_HEATMAP
#In heatmaps, each ID is associated to multiple numeric values, which are displayed as a set of colored boxes defined by a color gradient
#lines starting with a hash are comments and ignored during parsing
#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).
#SEPARATOR TAB
SEPARATOR SPACE
Scolopacidae 2.2068258760318495
Scopidae 0.0
Scotocercidae 0.6989700043360187
Spheniscidae 1.8692317197309762
Steatornithidae 0.0
Stenostiridae 1.0791812460476247
Stercorariidae 1.0
Strigidae 2.555094448578319
Struthionidae 0.9542425094393249
Sulidae 1.5682017240669948
Sylviornithidae 0.30102999566398114
Thinocoridae 0.9030899869919434
Threskiornithidae 1.6434526764861872
Tinamidae 1.845098040014257
Todidae 0.7781512503836435
Trochilidae 2.763427993562937
Trogonidae 1.8864907251724818
Turnicidae 1.462397997898956
Tytonidae 1.7781512503836434
Upupidae 0.9542425094393249
Vireonidae 1.9444826721501687
MRCA_of_taxa_in_Bernieridae 1.9637878273455551
MRCA_of_taxa_in_Laniidae 1.9542425094393248
MRCA_of_taxa_in_Ploceidae 2.1903316981702914
MRCA_of_taxa_in_Dendrocolaptidae 2.130333768495006
MRCA_of_taxa_in_Cettiidae 1.591064607026499
MRCA_of_taxa_in_Alcidae 1.8195439355418683
MRCA_of_taxa_in_Lybiidae 1.851258348719075
MRCA_of_taxa_in_Turdidae 2.963787827345555
MRCA_of_taxa_in_Picathartidae 1.041392685158225
MRCA_of_taxa_in_Neomorphidae 1.1461280356782377
MRCA_of_taxa_in_Sittidae 1.6901960800285134
MRCA_of_taxa_in_Pellorneidae 1.7781512503836434
MRCA_of_taxa_in_Thamnophilidae 2.4969296480732144
MRCA_of_taxa_in_Artamidae 1.6532125137753435
MRCA_of_taxa_in_Vangidae 1.380211241711606
MRCA_of_taxa_in_Estrildidae 2.374748346010104
MRCA_of_taxa_in_Passerellidae 2.363611979892144
MRCA_of_taxa_in_Loriidae 2.123851640967086
MRCA_of_taxa_in_Motacillidae 2.2095150145426303
MRCA_of_taxa_in_Pipridae 2.8481891169913984
